id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95844,2021-01-07 08:23:02,埃塞俄比亚,126786,0,112974,1965,0,0.0,545.0,,161.0,2.0,,,
95879,2020-06-15 00:00:31,梵蒂冈,12,0,12,0,0,,,,,,,,
95632,2021-01-07 08:23:01,科特迪瓦,22963,0,22212,138,0,0.0,108.0,,58.0,0.0,,,
95634,2021-01-07 08:23:02,卡塔尔,145061,0,142182,245,0,0.0,209.0,,0.0,0.0,,,
95411,2020-06-12 17:03:24,莱索托,4,0,2,0,0,,,,,,,,
950611,2021-01-07 17:03:36,格鲁吉亚,235491,0,223695,2694,0,0.0,1612.0,,419.0,28.0,,,
96745,2021-01-07 11:13:28,墨西哥,1479835,0,1119968,129987,0,0.0,13345.0,,6831.0,1165.0,,,
95891,2021-01-07 08:23:02,圣马力诺,2549,0,2158,62,0,0.0,56.0,,0.0,0.0,,,
95400,2021-01-07 13:18:27,哈萨克斯坦,205933,0,180364,2781,0,0.0,869.0,,987.0,6.0,,,
95643,2021-01-07 08:23:01,安道尔,8348,0,7615,84,0,0.0,40.0,,30.0,0.0,,,
95886,2021-01-07 08:23:02,牙买加,13330,0,11182,306,0,0.0,84.0,,0.0,0.0,,,
82333,2020-06-15 13:26:03,格恩西岛,252,0,238,13,0,,,,,,,,
95677,2021-01-07 08:23:02,罗马尼亚,654007,0,586764,16299,0,0.0,5719.0,,0.0,0.0,,,
95436,2021-01-07 08:23:02,阿曼,129888,0,122456,1504,0,0.0,114.0,,0.0,0.0,,,
95672,2020-06-15 14:25:46,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,2021-01-07 08:23:02,马达加斯加,17767,0,17298,262,0,0.0,0.0,,0.0,0.0,,,
